matter_class,eos_id,family_group_id,amplitude,build_ok,physical_trace_ok,minimum_mass_msun,maximum_mass_msun,radius_1p4_km,covers_ml_mass_grid_1_to_2,passes_mmax_floor,passes_mmax_ceiling,passes_r14_screen,acceptable,reason
hadronic,Ska,H_SKYRME,0.05,True,True,0.0908257939052329,2.288115389121268,14.222138779154092,True,True,True,True,True,
hadronic,Ska,H_SKYRME,0.09,True,True,0.0910403596485043,2.3357154371624897,14.664880173007989,True,True,True,False,False,R1.4 screen
hadronic,WFF-2,H_WFF,-0.05,True,True,0.0893220539783133,2.03913490887467,11.258703825359913,True,True,True,True,True,
hadronic,WFF-2,H_WFF,-0.02,True,True,0.0896062083359175,2.0713279964092,11.722938295660706,True,True,True,True,True,
hadronic,WFF-2,H_WFF,0.0,True,True,0.0898035335780253,2.0939415743641474,12.056847863204526,True,True,True,True,True,
hadronic,WFF-2,H_WFF,0.01,True,True,0.0883956638041309,2.105583354942242,12.231324188453645,True,True,True,True,True,
hadronic,WFF-2,H_WFF,0.02,True,True,0.0883329652765926,2.1174433473957603,12.40967270084238,True,True,True,True,True,
hadronic,WFF-2,H_WFF,0.03,True,True,0.0882794568604962,2.129517513399607,12.592814009919046,True,True,True,True,True,
hadronic,WFF-2,H_WFF,0.04,True,True,0.0882344196994883,2.141801555469979,12.77979167386082,True,True,True,True,True,
hadronic,WFF-2,H_WFF,0.05,True,True,0.088198396373675,2.1542911046289785,12.968057240232238,True,True,True,True,True,
hadronic,WFF-2,H_WFF,0.09,True,True,0.088119485238187,2.206210519217868,13.694752168491751,True,True,True,True,True,
quark,CFL1,Q_CFL1,-0.05,True,True,0.0568096465863291,2.030977934771952,10.976604047528426,True,True,True,True,True,
quark,CFL1,Q_CFL1,-0.02,True,True,0.0570585719127571,2.052227570706747,11.037326351445529,True,True,True,True,True,
quark,CFL1,Q_CFL1,0.0,True,True,0.057202142419569,2.066574226422212,11.075526492853095,True,True,True,True,True,
quark,CFL1,Q_CFL1,0.01,True,True,0.0572682578009172,2.0738369454273484,11.093949088774789,True,True,True,True,True,
quark,CFL1,Q_CFL1,0.02,True,True,0.0573309764921013,2.081121886218156,11.111925003936143,True,True,True,True,True,
quark,CFL1,Q_CFL1,0.03,True,True,0.0573905508918597,2.088428415414374,11.129458930713016,True,True,True,True,True,
quark,CFL1,Q_CFL1,0.04,True,True,0.0574472093036176,2.0957880062107512,11.146531382548654,True,True,True,True,True,
quark,CFL1,Q_CFL1,0.05,True,True,0.0575011586994572,2.1031933076577065,11.163118587588828,True,True,True,True,True,
quark,CFL1,Q_CFL1,0.09,True,True,0.0576933855176744,2.133118718897044,11.2247309804775,True,True,True,True,True,
quark,CFL10,Q_CFL10,-0.05,True,True,0.0523700103196994,2.192564651155205,10.991015670765018,True,True,True,True,True,
quark,CFL10,Q_CFL10,-0.02,True,True,0.052496573074893,2.208245447102125,11.025842129493272,True,True,True,True,True,
quark,CFL10,Q_CFL10,0.0,True,True,0.0525723210769059,2.218817936616328,11.04799378609173,True,True,True,True,True,
quark,CFL10,Q_CFL10,0.01,True,True,0.0526079124436425,2.2241182297101285,11.05874552992641,True,True,True,True,True,
quark,CFL10,Q_CFL10,0.02,True,True,0.0526420998648896,2.229427561855718,11.069273143274708,True,True,True,True,True,
quark,CFL10,Q_CFL10,0.03,True,True,0.0526749634716869,2.234745689587128,11.079578213966164,True,True,True,True,True,
quark,CFL10,Q_CFL10,0.04,True,True,0.0527065775185593,2.240097553225064,11.089662523056566,True,True,True,True,True,
quark,CFL10,Q_CFL10,0.05,True,True,0.0527370109011192,2.2454717482968083,11.0995280434493,True,True,True,True,True,
quark,CFL10,Q_CFL10,0.09,True,True,0.0528481529517317,2.2670464112255955,11.13684798689918,True,True,True,True,True,
quark,CFL14,Q_CFL14,-0.05,True,True,0.0514031108852171,2.0648481789339685,10.34518279675064,True,True,True,True,True,
